id;points;rebounds;assists;steals;blocks;fouls;turnovers;played
1;3074;29538;6113;1880;4341;27974;17433;8816.77
2;29712;2383;16159;3379;19897;13893;11600;26850.78
3;18915;11371;24450;12743;1840;29835;21965;22304.37
4;13127;329;12844;2400;30334;19970;1285;20575.88
5;434;17398;14327;5553;28513;18796;14972;1659.45
6;14251;19538;4905;20808;12543;19376;22069;6330.62
7;25847;30131;13133;27571;23081;23200;28007;3733.12
8;11887;23228;2256;5205;9614;26564;1609;28770.68
9;26339;13455;29910;15181;1137;21997;20499;15017.07
10;29151;15391;9729;1831;28838;18466;25828;987.01
